outcome,block,shapley_r2,share_of_full_r2,shapley_r2_unclamped,share_unclamped,full_r2,delta_r2_given_others
ihp_flood,M,0.006383151298054538,0.05612625362123283,0.015604424522570177,0.13720775953314648,0.11372844054639986,0.005132829229184677
ihp_flood,H,0.0993314197095885,0.8734087905572087,0.11581266731602598,1.0183263461594356,0.11372844054639986,0.12824838931024352
ihp_flood,E,0.008013869538756805,0.07046495582155847,-0.0176886512921963,-0.15553410569258216,0.11372844054639986,0.01838676383749438
claims,M,0.19328972143962683,0.47307985446482076,0.19328972143962683,0.47307985446482076,0.4085773672571388,0.09370983347673312
claims,H,0.20393300696218908,0.4991294753579523,0.20393300696218908,0.4991294753579523,0.4085773672571388,0.10605826991375067
claims,E,0.011354638855322858,0.02779067017722692,0.011354638855322858,0.02779067017722692,0.4085773672571388,0.00967099792262327
uptake,M,0.2749016139139498,0.4966829915723666,0.2749016139139498,0.4966829915723666,0.5534749902421345,0.13909487576831758
uptake,H,0.2529036453536147,0.45693780172971193,0.2529036453536147,0.45693780172971193,0.5534749902421345,0.13497029966658192
uptake,E,0.025669730974569996,0.046379206697921414,0.025669730974569996,0.046379206697921414,0.5534749902421345,0.01569284153051287
